caseid,srv_spend,campfin,immig_legal,immig_numb,equalpay,parleave,crimespend,death,terror_worry,minwage,healthspend,childcare,getahead,freetrade
243,2,1,4,4,1,1,4,3,4,1,4,4,3,4
244,2,6,2,3,2,2,1,3,4,1,5,4,2,3
245,2,4,4,4,4,4,4,2,9,2,4,4,3,4
246,4,1,4,4,2,3,2,4,9,1,1,4,3,2
247,7,1,2,4,1,1,4,7,4,1,1,2,5,1
248,4,2,2,4,1,1,3,3,3,2,3,4,2,6
249,1,2,4,4,3,4,3,3,9,2,3,5,2,3
250,5,2,5,4,1,1,3,1,5,2,2,2,3,2
251,3,4,3,4,4,2,3,1,3,1,4,4,4,6
252,3,2,5,5,2,1,3,2,3,1,2,3,2,7
253,4,6,2,4,4,3,3,1,9,2,2,3,3,3
254,4,5,3,6,1,3,3,2,4,2,4,7,3,4
255,2,1,1,4,1,7,4,3,5,1,4,4,3,4
256,5,2,5,6,4,1,3,6,3,1,6,4,1,6
257,997,5,4,7,1,3,7,7,1,4,7,7,2,3
258,4,4,3,4,2,4,3,4,3,2,4,4,3,7
259,6,1,2,4,1,1,2,7,4,1,1,1,2,4
260,7,1,1,2,1,4,2,3,4,1,2,3,2,3
261,3,3,2,4,5,6,3,2,3,2,4,4,3,3
262,7,7,2,4,1,2,4,3,4,2,2,3,2,5
263,1,4,2,4,4,7,2,1,2,2,7,7,2,3
264,4,7,4,2,3,4,4,2,9,2,3,3,3,3
265,1,4,2,6,1,4,3,2,1,2,1,7,2,1
266,6,7,2,2,1,4,2,6,3,1,2,4,3,1
267,997,1,2,4,4,2,2,3,4,1,3,4,4,1
268,3,2,2,6,1,3,3,3,9,1,3,3,3,6
269,4,3,2,4,2,1,4,5,3,1,3,3,3,4
270,6,1,2,3,1,3,3,7,2,1,2,2,2,4
271,7,1,1,3,1,1,6,7,9,1,1,3,2,3
272,1,4,4,7,1,2,2,3,1,2,5,4,2,5
273,1,7,1,1,7,7,7,7,4,4,7,7,5,4
274,2,4,2,3,1,5,4,2,9,2,4,4,4,4
275,997,7,1,1,1,1,2,7,5,1,1,1,3,6
276,5,4,7,7,1,5,4,1,2,2,7,7,3,7
277,7,1,1,2,1,1,3,7,4,1,1,1,1,4
278,6,1,4,4,1,1,2,5,9,1,2,3,2,4
279,1,1,5,7,4,7,1,1,1,4,5,6,1,4
280,4,2,2,6,3,4,4,4,9,1,4,4,2,3
281,4,2,4,7,1,2,3,1,9,1,1,1,2,4
282,4,2,3,6,1,1,3,2,9,2,3,3,2,5
283,5,1,2,3,1,1,4,7,9,1,1,1,2,5
284,4,7,3,6,3,6,3,2,2,1,2,3,2,5
285,5,2,4,5,3,2,1,1,2,1,1,1,1,1
286,2,2,4,3,2,1,1,2,1,1,3,3,2,4
287,5,3,2,3,1,1,2,2,4,1,2,2,3,1
288,4,2,4,3,1,5,4,7,5,2,4,5,3,5
289,2,2,3,5,1,2,3,1,3,1,6,3,1,4
290,4,4,4,5,1,6,2,1,2,1,3,6,1,6
291,4,4,4,2,4,4,4,4,9,1,2,2,2,3
292,4,4,2,4,4,4,4,1,9,1,4,4,5,1
293,4,4,2,3,1,2,2,6,3,1,2,2,2,4
294,997,4,3,5,2,3,4,3,9,1,3,2,2,4
295,4,3,3,4,4,3,2,1,2,3,4,4,3,3
296,2,4,2,2,1,7,3,7,9,3,4,6,4,3
297,4,1,1,4,1,2,3,3,3,1,3,3,2,2
298,4,7,7,7,1,1,3,1,9,2,4,1,1,6
299,7,1,2,4,1,1,6,6,5,1,1,1,2,7
300,3,4,2,7,1,1,5,1,3,3,2,3,3,5
301,5,4,4,7,1,1,4,2,9,1,7,6,4,1
302,4,4,4,4,4,4,4,4,3,1,1,2,2,4
303,2,4,2,5,4,1,4,1,9,2,6,6,3,4
304,4,4,4,5,1,1,1,2,3,1,4,3,3,4
305,1,4,4,4,4,4,4,4,9,1,7,7,1,4
306,7,4,1,4,1,1,1,7,2,1,2,1,3,4
307,997,1,1,7,1,7,7,1,1,2,7,7,2,7
308,7,1,7,7,1,7,7,1,5,1,1,2,1,1
309,1,7,3,2,7,7,3,6,9,4,7,7,2,3
310,1,4,2,5,1,1,4,3,3,1,4,4,2,4
311,4,2,4,4,1,3,3,1,9,4,4,4,4,4
312,1,2,2,2,1,2,4,4,1,1,3,4,3,4
313,1,1,4,4,1,1,4,1,1,1,3,3,3,2
314,7,1,6,5,4,2,4,2,3,1,2,4,5,2
315,4,4,6,5,1,2,2,4,2,1,2,1,1,2
316,2,4,3,4,4,2,3,4,9,2,5,5,3,4
317,6,1,1,2,1,4,4,1,5,1,1,2,3,2
318,1,6,2,4,4,6,5,2,3,4,7,7,3,3
319,7,4,1,1,3,3,3,3,1,2,1,3,3,3
320,997,1,4,5,2,1,2,4,2,1,6,3,2,4
321,4,4,4,7,1,1,4,7,2,1,1,1,3,1
322,2,2,3,5,4,5,4,3,9,2,5,5,3,4
323,7,4,4,4,1,1,4,1,9,1,1,2,2,4
324,3,3,4,5,1,1,4,4,3,1,2,3,2,4
325,1,6,4,4,7,7,2,1,1,2,7,7,5,2
326,6,1,2,4,1,1,5,2,4,1,1,2,1,7
