caseid,lazyb,lazyw,lazyh,lazym
743,3,3,5,5
744,5,4,4,5
745,5,5,5,5
746,5,5,5,5
747,4,4,4,5
748,2,3,4,3
749,1,4,1,4
750,1,3,5,4
751,4,3,5,5
752,2,4,4,3
753,3,4,2,5
754,2,4,4,5
755,5,5,5,5
756,5,5,5,5
757,5,5,5,5
758,3,3,3,3
759,3,3,3,3
760,5,5,5,5
761,5,3,5,5
762,3,3,3,3
763,5,5,5,5
764,3,3,3,3
765,3,4,4,5
766,5,5,5,5
767,5,5,5,5
768,4,4,4,4
769,5,5,5,4
770,5,5,5,5
771,4,5,3,5
772,3,3,3,3
773,5,2,5,4
774,4,5,5,5
775,3,3,3,3
776,5,5,5,5
777,3,4,4,5
778,5,5,5,5
779,4,5,5,4
780,4,4,4,4
781,3,4,3,2
782,2,4,4,2
783,4,4,4,4
784,4,4,4,4
785,5,5,5,5
786,3,3,3,3
787,3,4,3,2
788,5,5,5,5
789,3,4,1,3
790,4,5,4,4
791,5,5,5,5
792,1,3,4,3
793,1,2,2,2
794,3,2,2,3
795,5,5,5,5
796,5,5,5,5
797,5,5,5,5
798,5,5,5,5
799,5,5,5,5
800,3,4,4,5
801,5,4,5,5
802,2,2,3,5
803,3,4,3,3
804,5,5,5,5
805,5,5,5,5
806,4,4,4,4
807,5,5,5,5
808,4,4,4,4
809,3,3,5,5
810,4,4,5,4
811,2,3,3,4
812,5,3,4,5
813,3,5,2,5
814,5,4,5,5
815,5,5,5,5
816,3,3,3,3
817,2,4,4,5
818,3,3,3,5
819,5,5,5,5
820,3,2,2,4
821,3,3,3,3
822,4,4,4,4
823,5,5,5,5
824,5,1,5,5
825,2,3,5,5
826,5,5,5,4
827,3,3,3,3
828,5,5,5,5
829,5,5,5,5
830,5,3,5,4
831,2,3,5,4
832,5,5,5,5
833,5,5,5,5
834,4,4,5,4
835,5,5,5,5
836,5,5,3,5
837,1,4,4,5
838,5,5,5,5
839,5,5,5,5
840,3,3,3,3
841,3,4,2,3
842,1,1,1,1
843,2,2,2,2
844,2,2,3,2
845,5,5,5,5
846,1,4,3,3
847,4,4,5,1
848,4,4,4,4
849,1,1,1,1
850,4,4,4,4
851,2,4,3,3
852,3,2,5,5
853,1,2,1,4
854,4,2,5,5
855,1,1,4,2
856,5,5,5,5
857,1,3,3,1
858,4,5,5,5
859,5,5,5,5
860,5,5,5,5
861,3,3,3,3
862,5,3,5,5
863,5,5,5,5
864,5,5,5,5
865,5,5,5,5
866,5,5,5,5
867,1,5,2,3
868,4,3,5,5
869,3,3,4,5
870,5,5,5,5
871,2,1,3,2
872,2,1,4,3
873,5,5,5,5
874,4,4,4,4
875,4,5,4,4
876,2,3,4,5
877,5,5,5,5
878,5,5,5,5
879,5,3,5,5
880,5,5,5,5
881,3,3,4,3
882,3,3,3,3
883,5,4,5,5
884,4,3,4,4
885,2,5,5,5
886,1,4,3,2
887,4,4,5,4
888,2,4,3,4
889,4,4,4,4
890,5,5,5,5
891,4,3,4,4
892,2,5,5,2
893,5,5,5,5
894,3,4,3,3
895,2,3,3,3
896,4,1,4,4
897,3,3,5,5
898,3,4,3,5
899,4,5,5,5
900,2,2,2,2
901,3,3,5,5
902,5,5,5,5
903,1,1,1,1
904,4,4,4,4
905,3,3,3,3
906,4,4,4,4
907,4,5,5,5
908,5,5,5,5
909,2,2,2,3
910,3,4,3,5
911,2,2,2,2
912,5,5,5,5
913,3,3,3,3
914,2,2,3,4
915,2,4,3,2
916,4,5,5,5
917,4,4,4,4
918,4,4,5,5
919,3,3,4,3
920,5,2,5,5
921,1,1,3,3
922,4,5,5,4
923,4,4,5,5
924,4,5,5,5
925,4,4,4,4
926,5,5,5,5
927,5,3,5,5
928,2,4,5,4
929,2,4,3,1
930,4,4,4,4
931,5,5,5,5
932,4,4,5,5
933,5,5,5,5
934,5,5,5,5
935,5,5,5,5
936,4,4,4,4
937,4,4,5,5
938,4,5,5,5
939,4,2,3,5
940,5,5,5,5
941,2,5,1,3
942,4,5,4,4
943,8,8,2,4
944,3,2,4,5
945,5,5,5,5
946,2,4,4,3
947,5,5,5,5
948,1,1,1,1
949,1,1,1,1
950,2,5,5,2
951,5,5,5,5
952,4,3,4,5
953,1,5,5,2
954,5,3,5,5
955,2,4,5,5
956,2,3,5,4
957,5,5,5,5
958,4,4,4,4
959,4,3,5,5
960,5,5,5,5
961,5,5,5,5
962,4,3,4,3
963,2,2,4,4
964,3,3,1,2
965,4,4,5,5
966,5,5,5,3
967,5,5,5,5
968,5,1,5,5
969,4,4,4,4
970,5,5,5,5
971,5,4,5,5
972,3,4,4,3
973,5,5,5,5
974,3,3,5,5
975,5,2,5,5
976,3,4,3,4
977,4,2,3,4
978,3,5,3,4
979,5,5,5,5
980,5,5,5,5
981,2,1,5,5
982,5,5,5,3
983,5,5,5,1
984,4,4,5,5
985,1,4,4,3
986,1,4,3,2
987,5,4,5,3
988,4,3,4,5
989,3,4,3,4
990,3,3,3,3
991,5,5,5,5
992,5,5,5,5
993,5,5,5,5
994,2,2,2,2
995,3,3,2,4
996,5,5,5,2
997,4,4,2,4
998,3,3,3,3
999,5,5,5,5
1000,5,5,5,5
1001,3,4,3,3
1002,4,5,4,5
1003,3,3,3,3
1004,2,3,4,5
1005,3,4,5,3
1006,4,4,4,4
1007,1,1,5,5
1008,3,3,5,5
1009,5,5,5,5
1010,5,5,5,5
1011,4,2,5,3
1012,4,5,4,5
1013,4,5,5,5
1014,5,5,5,5
1015,5,5,5,5
1016,1,5,1,1
1017,4,4,4,4
1018,1,5,5,5
1019,5,5,5,5
1020,5,5,5,5
1021,3,3,4,5
1022,2,2,3,5
1023,4,4,4,3
1024,4,4,4,4
1025,3,3,2,2
1026,5,5,5,5
1027,1,3,5,4
1028,3,2,3,4
1029,4,4,3,3
1030,5,4,5,5
1031,4,4,4,4
1032,5,3,5,5
1033,5,5,5,5
1034,5,5,5,5
1035,4,4,5,4
1036,2,5,5,4
1037,4,1,5,3
1038,5,5,5,5
1039,3,4,2,4
1040,5,5,5,5
1041,3,3,3,3
1042,5,5,5,5
1043,1,2,2,2
1044,3,5,3,4
1045,5,5,5,5
1046,3,5,5,3
1047,1,2,5,2
1048,3,4,5,2
1049,3,2,5,5
1050,3,3,5,5
1051,5,5,5,5
1052,5,4,5,5
1053,4,3,4,4
1054,5,2,5,5
1055,2,5,2,1
1056,4,4,5,5
1057,3,4,5,3
1058,1,4,4,1
1059,5,5,5,5
1060,3,3,5,5
1061,5,1,5,5
1062,5,5,5,5
1063,3,4,5,5
1064,4,4,4,4
1065,4,4,4,4
1066,4,4,5,5
1067,4,4,4,5
1068,3,1,3,2
1069,3,3,4,3
1070,1,1,1,1
1071,2,4,1,3
1072,3,3,3,3
1073,4,4,5,5
1074,5,5,5,5
1075,5,5,5,5
1076,4,4,5,5
1077,5,5,5,5
1078,5,5,5,5
1079,3,3,1,1
1080,3,4,3,3
1081,2,2,2,2
1082,5,5,5,5
1083,1,4,5,4
1084,5,5,5,5
1085,2,3,3,2
1086,3,3,5,5
1087,3,3,3,3
1088,5,5,5,5
1089,5,4,5,5
1090,3,3,3,3
1091,2,2,2,2
1092,4,5,5,5
1093,3,3,3,2
1094,5,1,5,5
1095,1,1,1,3
1096,2,3,4,4
1097,5,5,5,5
1098,3,3,3,4
1099,5,5,5,5
1100,2,4,1,3
1101,4,4,4,5
1102,1,3,2,2
1103,1,4,3,3
1104,1,4,5,4
1105,4,4,4,4
1106,4,4,5,5
1107,5,5,5,5
1108,2,3,3,4
1109,4,4,5,5
1110,3,3,3,4
1111,4,2,4,3
1112,4,3,5,5
1113,5,5,5,5
1114,5,5,5,5
1115,5,5,5,5
1116,3,5,3,2
1117,2,4,5,4
1118,4,5,4,5
1119,1,1,1,1
1120,4,4,4,5
1121,5,5,5,5
1122,3,4,3,3
1123,4,5,5,5
1124,4,4,4,4
1125,5,4,5,5
1126,5,5,5,5
1127,5,4,5,5
1128,5,5,5,5
1129,5,5,5,5
1130,4,5,5,5
1131,4,4,4,4
1132,4,2,4,5
1133,1,5,3,2
1134,5,5,5,5
1135,1,4,3,3
1136,3,3,3,3
1137,3,4,4,4
1138,4,4,5,5
1139,3,3,3,3
1140,2,4,3,3
1141,1,4,3,3
1142,4,4,4,4
1143,1,3,5,3
1144,5,5,5,5
1145,2,2,2,3
1146,1,5,4,2
1147,4,4,4,4
1148,5,3,5,5
1149,1,4,4,4
1150,4,3,4,4
1151,2,4,5,5
1152,3,4,4,3
1153,5,4,5,5
1154,4,4,5,5
1155,5,5,5,5
1156,1,2,2,1
1157,4,4,4,4
1158,4,4,4,4
1159,3,3,4,4
1160,5,5,5,5
1161,4,4,5,5
1162,8,8,8,8
1163,3,2,2,4
1164,4,4,5,5
1165,4,4,4,4
1166,5,5,5,5
1167,5,5,5,5
1168,4,4,4,4
1169,5,1,1,1
1170,1,4,1,3
1171,4,3,5,5
1172,4,4,4,4
1173,5,5,5,5
1174,4,4,4,4
1175,5,3,5,5
