caseid,terror_worry,terror_12mo,terror_local,syrians_b,pc_a,pc_b
462,9,3,5,5,9,4
463,4,4,5,3,9,4
464,3,2,2,9,1,9
465,9,2,2,7,9,4
466,2,9,3,9,1,9
467,5,5,5,9,9,3
468,2,3,4,7,9,4
469,9,4,5,4,1,9
470,1,1,1,9,9,1
471,9,4,4,3,9,2
472,9,2,5,9,4,9
473,3,9,5,4,4,9
474,9,5,5,9,9,4
475,3,9,5,6,9,3
476,1,1,3,7,9,4
477,9,2,3,9,9,4
478,5,5,5,9,9,2
479,9,1,3,7,4,9
480,4,9,5,9,3,9
481,9,5,5,9,9,1
482,2,9,2,4,9,3
483,3,4,5,9,9,1
484,4,5,5,9,9,4
485,2,2,3,4,9,1
486,4,9,4,9,3,9
487,3,9,5,9,2,9
488,9,3,3,9,9,3
489,3,9,4,4,9,1
490,4,4,4,9,9,4
491,9,2,4,9,9,3
492,3,9,3,4,2,9
493,2,9,1,6,2,9
494,2,3,3,5,2,9
495,9,2,3,9,1,9
496,9,2,4,4,9,3
497,4,3,4,2,1,9
498,9,3,5,9,2,9
499,4,4,4,2,1,9
500,9,2,4,9,9,3
501,4,4,4,5,4,9
502,9,5,5,7,3,9
503,2,2,3,9,9,4
504,2,9,3,3,4,9
505,9,3,3,9,9,3
506,2,9,3,9,9,2
507,1,9,4,7,4,9
508,1,1,1,2,9,1
509,2,3,5,7,9,3
510,3,9,5,7,4,9
511,1,2,1,9,7,4
512,9,3,4,6,1,9
513,9,1,5,7,9,4
514,3,5,5,7,9,4
515,3,2,3,9,4,9
516,9,3,5,6,4,9
517,1,2,5,9,4,9
518,5,9,5,9,9,1
519,1,9,3,7,4,9
520,9,1,3,7,9,4
521,2,2,3,7,3,9
522,1,2,4,9,4,9
523,5,5,5,1,9,1
524,1,9,2,9,9,4
525,3,9,3,2,9,1
526,9,4,4,9,2,9
527,1,9,2,9,4,9
528,3,9,4,9,9,2
529,9,3,4,2,2,9
530,1,9,1,7,4,9
