caseid,meet,givefut,info,march,sign,give12mo
751,4,4,5,2,2,2
752,5,5,5,2,2,2
753,5,5,5,2,2,2
754,5,5,5,2,2,2
755,2,2,3,2,2,2
756,3,3,3,2,2,2
757,2,4,5,2,2,2
758,5,3,3,2,2,2
759,5,4,5,2,2,2
760,4,4,3,2,2,2
761,5,5,5,2,2,2
762,2,4,5,2,1,2
763,5,2,3,2,1,1
764,5,5,5,2,2,2
765,1,1,1,1,1,1
766,5,5,5,2,1,2
767,3,2,4,2,2,2
768,5,5,5,2,2,2
769,5,5,5,2,2,2
770,5,4,5,2,2,1
771,5,5,5,2,2,2
772,4,5,4,2,2,2
773,2,4,4,2,2,2
774,3,5,4,1,2,2
775,1,1,2,2,2,2
776,5,5,5,2,2,2
777,4,5,5,2,2,2
778,3,5,3,2,2,2
779,3,3,5,2,2,2
780,4,5,5,2,2,2
781,4,3,3,2,2,1
782,3,4,5,2,2,2
783,5,5,5,2,2,2
784,5,5,5,1,2,2
785,4,5,5,2,2,2
786,3,4,5,2,2,2
787,3,3,3,1,1,1
788,4,5,4,2,2,2
789,5,5,5,2,2,2
790,5,5,5,2,2,2
791,1,5,5,2,2,2
792,4,3,4,2,2,2
793,3,4,4,2,2,2
794,3,4,3,2,2,1
795,5,5,5,2,2,2
796,3,4,4,2,2,2
797,2,4,5,1,2,2
798,2,4,4,2,2,2
799,1,1,1,1,1,1
800,2,4,3,2,2,2
801,3,3,3,2,2,2
802,5,5,5,2,2,2
803,5,5,5,2,2,2
804,3,4,4,2,2,2
805,3,4,4,2,1,2
806,5,5,5,2,2,2
807,5,4,5,2,2,2
808,4,5,5,2,2,2
809,4,4,3,2,1,2
810,3,4,5,2,2,2
811,3,5,5,1,2,2
812,4,5,4,2,2,2
813,1,1,1,2,1,2
814,4,5,1,2,2,2
815,5,3,5,2,2,2
816,1,2,2,1,2,2
817,5,5,5,2,2,2
818,3,3,3,1,2,1
819,5,5,5,2,2,2
820,4,5,5,2,2,2
821,4,5,5,1,2,2
822,4,4,4,2,2,2
823,5,5,5,2,2,2
824,3,3,3,2,2,2
825,3,5,4,2,1,2
826,4,4,5,2,2,2
827,3,3,3,2,1,1
828,4,4,5,2,2,2
829,5,5,5,2,2,2
830,5,5,5,2,2,2
831,5,5,5,2,2,2
832,4,4,5,2,2,2
833,4,3,5,2,1,2
834,4,4,4,2,2,2
835,2,4,4,2,2,2
836,4,4,4,2,1,1
837,5,4,4,1,1,2
838,4,5,5,2,2,2
839,3,3,5,2,2,2
840,5,5,5,2,2,2
841,5,5,5,2,2,2
842,1,3,1,1,1,1
843,1,2,2,1,1,1
844,5,5,5,2,2,2
845,3,5,5,2,1,2
846,2,2,3,1,2,1
847,5,5,5,2,2,2
848,3,1,3,2,2,2
849,5,5,5,1,2,2
850,5,5,5,2,2,2
851,3,4,3,1,1,1
852,5,5,5,2,2,2
853,5,4,3,2,2,1
854,3,2,3,2,2,1
855,5,5,5,2,2,2
856,4,5,5,2,2,2
857,5,5,5,1,2,2
858,5,5,5,2,2,2
859,4,5,5,2,2,2
860,4,3,5,2,2,2
861,5,5,5,2,2,2
862,4,5,4,2,2,2
863,2,4,4,2,1,2
864,4,5,5,2,2,2
865,5,5,5,2,2,2
866,3,5,3,2,2,2
867,5,5,5,2,2,2
868,4,5,5,2,2,2
869,5,5,5,2,2,2
870,5,3,4,2,2,2
871,5,5,5,2,2,2
872,4,4,5,2,2,2
873,4,4,3,2,2,2
874,5,5,4,2,2,2
875,3,4,3,2,2,2
876,3,2,1,2,2,2
877,2,1,4,2,1,1
878,5,5,5,2,2,2
879,5,5,5,2,2,2
880,2,2,4,2,2,2
881,1,2,4,2,2,2
882,2,3,3,2,2,2
883,5,5,4,2,2,2
884,4,5,3,2,2,2
885,5,5,5,2,2,2
886,4,4,1,2,2,2
887,5,5,5,2,2,2
888,5,5,5,2,2,2
889,2,5,5,2,2,2
890,3,3,5,2,2,1
891,3,4,4,2,2,2
892,5,4,5,2,2,2
893,5,5,2,2,2,2
894,5,4,5,2,2,2
895,5,4,4,2,2,2
896,4,3,4,2,2,2
897,1,1,1,1,1,1
898,5,5,5,2,2,2
899,4,4,5,2,2,2
900,3,2,2,1,2,1
901,3,4,3,2,2,2
902,2,2,3,1,2,1
903,1,1,1,1,1,1
904,3,2,3,2,1,1
905,5,5,5,2,2,2
906,5,5,5,2,2,2
907,5,2,3,2,2,2
908,5,5,5,2,2,2
909,3,4,4,2,2,2
910,3,4,5,2,2,2
911,5,5,5,2,2,2
912,4,3,5,2,1,1
913,4,5,4,2,2,2
914,3,4,2,2,1,1
915,4,5,5,2,2,2
916,1,1,1,1,2,1
917,5,5,5,2,2,2
918,5,5,5,2,2,2
919,4,5,5,2,2,2
920,4,5,4,2,2,2
921,3,4,4,2,1,2
922,3,3,4,2,1,1
923,3,3,2,2,2,2
924,1,2,3,2,2,1
925,4,4,4,2,1,2
926,5,3,5,2,1,2
927,2,1,1,1,1,1
928,5,5,5,2,2,2
929,2,3,2,1,1,2
