caseid,violentb,violentw,violenth,violentm
692,5,3,5,5
693,3,3,3,3
694,4,5,5,4
695,5,5,5,5
696,3,3,4,1
697,1,2,4,1
698,5,5,5,5
699,5,5,5,2
700,4,4,5,3
701,4,4,4,4
702,3,3,3,3
703,3,3,3,3
704,4,2,5,4
705,4,4,4,4
706,5,5,5,5
707,4,4,4,4
708,1,3,4,1
709,3,5,4,3
710,1,4,3,2
711,4,4,4,3
712,5,5,5,5
713,4,4,5,4
714,3,4,4,3
715,3,3,4,5
716,1,5,4,1
717,3,3,3,1
718,1,2,5,3
719,2,5,5,1
720,5,5,5,5
721,3,3,4,1
722,2,4,3,1
723,2,4,3,1
724,1,5,5,1
725,1,4,3,3
726,1,5,2,1
727,4,4,4,4
728,4,4,4,4
729,4,4,4,4
730,1,5,5,1
731,3,3,3,3
732,4,4,4,4
733,2,1,2,1
734,5,5,5,5
735,3,4,4,4
736,4,5,4,4
737,3,4,3,2
738,4,3,4,4
739,5,3,5,4
740,4,3,4,4
741,2,4,3,1
742,3,3,3,3
743,2,3,3,2
744,4,4,4,1
745,5,5,5,5
746,1,3,3,2
747,4,4,4,4
748,2,3,3,2
749,2,4,3,4
750,2,4,4,3
751,3,3,4,5
752,3,4,4,3
753,2,4,3,3
754,2,3,3,1
755,5,5,5,5
756,5,5,5,3
757,5,5,5,5
758,3,3,3,3
759,3,3,3,3
760,5,5,5,5
761,4,2,4,4
762,1,2,3,1
763,5,5,5,4
764,3,3,1,2
765,3,5,5,3
766,4,4,4,4
767,5,5,5,5
768,3,4,4,1
769,5,5,5,2
770,5,5,5,5
771,3,2,5,5
772,3,3,3,3
773,3,3,5,1
774,2,4,3,4
775,3,3,3,3
776,3,4,4,4
777,3,4,4,3
778,5,5,5,5
779,3,3,3,3
780,4,4,4,4
781,2,4,3,1
782,3,5,3,2
783,4,4,4,4
784,4,4,4,4
785,5,5,5,5
786,3,3,3,3
787,3,4,3,3
788,4,2,4,4
789,3,5,3,3
790,4,5,3,2
791,5,5,5,5
792,3,4,4,3
793,1,2,1,1
794,1,2,2,5
795,5,5,5,5
796,3,4,4,2
797,4,5,5,5
798,5,5,5,5
799,3,4,2,1
800,2,3,3,3
801,3,1,2,3
802,4,4,4,2
803,3,4,4,3
804,5,5,5,5
805,5,4,5,5
806,4,4,4,4
807,4,4,4,4
808,5,5,5,5
809,2,2,3,3
810,5,5,5,5
811,3,3,3,2
812,4,4,5,5
813,3,4,4,4
814,4,4,5,4
815,5,5,5,5
816,3,3,3,3
817,1,3,4,3
818,3,3,3,5
819,4,5,5,5
820,2,3,3,2
821,3,3,3,3
822,4,4,4,4
823,5,5,5,5
824,8,8,8,8
825,2,1,2,3
826,5,5,5,4
827,3,3,3,3
828,3,3,3,3
829,5,5,5,5
830,4,4,5,4
831,3,5,4,3
832,4,4,5,5
833,4,4,4,4
834,5,5,5,4
835,5,5,5,5
836,4,4,4,4
837,1,4,5,2
838,5,5,5,5
839,5,5,5,5
840,3,2,3,3
841,3,3,2,1
842,1,1,1,1
843,2,2,3,3
844,1,2,3,3
845,5,3,4,4
846,5,4,3,3
847,5,3,2,5
848,4,4,4,4
849,1,4,1,1
850,3,3,3,3
851,2,3,2,2
852,3,3,3,3
853,2,4,3,1
854,4,3,5,5
855,1,2,3,1
856,5,5,5,5
857,1,3,2,1
858,3,5,4,4
859,5,5,5,5
860,5,5,5,5
861,3,3,3,3
862,4,3,4,4
863,5,5,5,5
864,4,4,4,4
865,5,5,5,5
866,4,4,4,4
867,1,5,1,1
868,4,3,5,4
869,3,3,3,3
870,3,4,4,3
871,3,2,3,2
872,1,4,3,2
873,5,5,5,5
874,2,2,1,1
875,4,5,5,3
876,2,2,3,1
877,5,5,5,5
878,4,5,5,4
879,4,4,4,4
880,5,5,5,5
881,3,4,4,4
882,3,3,3,3
883,4,3,4,4
884,4,3,4,4
885,3,3,3,3
886,1,5,2,1
887,5,5,5,5
888,1,3,2,3
889,3,4,4,3
890,4,4,5,3
891,3,3,3,3
892,1,3,2,1
893,5,5,5,5
894,2,4,3,1
895,2,4,3,3
896,3,2,4,3
897,3,2,4,3
898,3,5,5,2
899,5,5,5,5
900,2,2,2,2
901,4,3,4,4
902,5,5,5,5
903,1,1,1,1
904,4,2,4,4
905,3,3,3,3
906,4,4,4,4
907,4,5,5,3
908,5,5,5,5
909,3,3,3,3
910,3,3,3,3
911,2,2,2,2
912,5,5,5,5
913,3,3,3,1
914,2,3,3,2
915,2,5,3,1
916,3,5,5,4
917,2,4,4,3
918,4,3,5,5
919,4,5,5,3
920,5,3,5,3
921,1,1,3,3
922,4,5,5,3
923,4,2,4,4
924,4,4,5,4
925,3,3,3,4
926,5,5,5,5
927,4,1,2,4
928,2,5,4,1
929,3,4,3,1
930,4,4,4,1
931,4,1,4,3
932,5,5,5,5
933,5,5,5,5
934,5,5,5,5
935,4,4,4,4
936,3,3,3,2
937,5,5,5,5
938,4,5,5,1
939,1,3,2,1
940,5,5,5,5
941,3,3,3,3
942,3,4,4,3
943,8,3,8,4
944,2,2,3,5
945,5,5,5,5
946,1,4,3,1
947,5,5,5,5
948,1,1,1,1
949,4,4,5,1
950,1,5,2,1
951,4,4,4,4
952,2,4,3,4
953,2,5,5,1
954,5,2,5,5
955,2,3,3,2
956,4,4,5,5
957,5,5,5,5
958,4,4,4,4
959,4,4,5,5
960,3,3,3,3
961,4,4,5,5
962,1,3,1,3
963,3,3,3,3
964,2,2,4,1
965,4,5,5,4
966,5,5,5,1
967,4,3,4,5
968,5,1,5,5
969,4,4,4,4
970,5,5,5,5
971,4,4,4,4
972,3,3,4,3
973,5,5,5,5
974,3,3,5,5
975,4,1,4,3
976,4,1,4,3
977,4,2,3,5
978,3,4,4,2
979,5,5,5,5
980,5,4,5,5
981,2,1,4,4
982,4,1,4,2
983,4,4,4,1
984,4,4,4,1
985,2,4,2,2
986,2,5,4,1
987,5,5,5,3
988,4,4,4,3
989,4,4,4,2
990,5,5,5,5
991,5,5,5,5
992,5,5,5,5
993,5,5,5,4
994,2,2,2,2
995,3,3,1,4
996,4,4,4,1
997,5,5,5,1
998,3,3,3,3
999,5,5,5,5
1000,5,5,5,5
1001,5,1,5,5
1002,4,4,5,4
1003,4,4,4,3
1004,1,3,2,1
1005,3,3,5,2
1006,2,3,3,2
1007,5,1,5,5
1008,2,2,2,2
1009,5,4,4,5
1010,5,5,5,5
1011,5,5,5,5
1012,2,5,3,4
1013,5,5,5,5
1014,5,5,5,5
1015,5,5,5,5
1016,1,5,1,1
1017,3,4,5,3
1018,1,4,4,3
1019,4,2,3,3
1020,5,5,5,5
1021,2,3,3,2
1022,2,2,3,5
1023,3,3,3,3
1024,3,3,3,1
1025,1,4,3,4
1026,3,4,2,1
1027,2,3,3,1
1028,3,2,3,4
1029,2,2,5,5
1030,5,5,5,5
1031,4,4,4,4
1032,4,4,4,4
1033,5,5,5,5
1034,5,5,5,5
1035,4,4,4,4
1036,3,5,5,3
1037,3,2,3,2
1038,3,3,3,3
1039,3,3,4,3
1040,3,3,3,3
1041,1,1,1,1
1042,5,5,5,5
1043,1,1,2,2
1044,3,4,3,3
1045,4,4,4,3
1046,2,3,3,1
1047,4,4,4,4
1048,2,2,5,1
1049,5,2,5,5
1050,3,3,3,5
1051,5,5,5,5
1052,2,2,2,4
1053,4,4,4,4
1054,5,2,5,5
1055,1,5,1,1
1056,4,5,5,5
1057,3,4,4,2
1058,1,3,3,1
1059,4,4,4,4
1060,5,5,5,3
1061,4,1,4,4
1062,5,5,5,5
1063,3,4,4,3
1064,8,8,8,8
1065,4,4,4,4
1066,3,3,3,4
1067,4,5,5,4
1068,2,1,1,1
1069,2,2,3,3
1070,1,1,1,1
1071,2,4,3,1
1072,3,3,3,3
1073,3,3,4,3
1074,3,3,3,3
1075,5,5,5,3
1076,3,5,3,1
1077,5,5,5,5
1078,5,5,5,5
1079,3,4,1,1
1080,3,3,3,2
1081,3,3,3,3
1082,4,3,3,4
1083,2,4,4,2
1084,5,5,5,5
1085,2,3,2,2
1086,1,1,1,1
1087,2,2,2,2
1088,5,5,5,5
1089,3,4,4,3
1090,4,3,5,3
1091,2,2,2,2
1092,4,5,4,5
1093,2,3,3,2
1094,4,2,3,5
1095,3,3,3,1
1096,3,3,3,3
1097,5,5,5,5
